[INFO] | [http-nio-3030-exec-34] | 2016/07/07 14:54:29.024/IST | INFO | PoiController.java:82 | Action is....listCreatedPoi...forwarding request to   /listCreatedPoi.jsp
[INFO] | [http-nio-3030-exec-34] | 2016/07/07 14:54:29.025/IST | INFO | PoiDaoImplementation.java:232 | GetCreatedPoiList.....
[INFO] | [http-nio-3030-exec-32] | 2016/07/07 14:54:32.077/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-32] | 2016/07/07 14:54:32.078/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-27] | 2016/07/07 14:54:35.740/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-27] | 2016/07/07 14:54:35.740/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-35] | 2016/07/07 14:55:09.265/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-35] | 2016/07/07 14:55:09.266/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-42] | 2016/07/07 15:00:32.170/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-42] | 2016/07/07 15:00:32.173/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-42] | 2016/07/07 15:00:32.173/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:02:33.997/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:02:34.001/IST | INFO | LoginServlet.java:100 | Welcome to Test User: admin
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:02:34.001/IST | INFO | LoginServlet.java:104 | Logged in User : admin
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:02:34.001/IST | INFO | LoginServlet.java:111 | Traversing Successfully to CustomPOI.jsp
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:02:34.012/IST | INFO | LoginServlet.java:113 | Logged in User Name: admin
[INFO] | [http-nio-3030-exec-40] | 2016/07/07 15:02:36.776/IST | INFO | PoiController.java:82 | Action is....listCreatedPoi...forwarding request to   /listCreatedPoi.jsp
